Mongo Object Id,Database Name,collection name,Upsert time
"""6352329d2e9ae06c351244d9""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""6352329f2e9ae06c351244da""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""6352329f2e9ae06c351244db""",NSE-ONGC-EQ,2022-10-21,107:22:18 AM
"""635232a02e9ae06c351244dc""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""635232a02e9ae06c351244dd""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""635232a12e9ae06c351244de""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""635232a22e9ae06c351244df""",NSE-ONGC-EQ,2022-10-21,107:22:18 AM
"""635232a22e9ae06c351244e0""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""635232a32e9ae06c351244e1""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""635232a42e9ae06c351244e2""",NSE-ONGC-EQ,2022-10-21,107:22:18 AM
"""635232a42e9ae06c351244e3""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""635232a52e9ae06c351244e4""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""635232a62e9ae06c351244e5""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""635232a72e9ae06c351244e6""",NSE-ONGC-EQ,2022-10-21,107:22:18 AM
"""635232a82e9ae06c351244e7""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""635232a92e9ae06c351244e8""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""635232aa2e9ae06c351244e9""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""635232aa2e9ae06c351244ea""",NSE-ONGC-EQ,2022-10-21,107:22:18 AM
"""635232ab2e9ae06c351244eb""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""635232ac2e9ae06c351244ec""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""635232ad2e9ae06c351244ed""",NSE-ONGC-EQ,2022-10-21,107:22:18 AM
"""635232ad2e9ae06c351244ee""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""635232af2e9ae06c351244ef""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""635232b02e9ae06c351244f0""",NSE-ONGC-EQ,2022-10-21,107:22:18 AM
"""635232b02e9ae06c351244f1""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""635232b12e9ae06c351244f2""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""635232b12e9ae06c351244f3""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""635232b22e9ae06c351244f4""",NSE-ONGC-EQ,2022-10-21,107:22:18 AM
"""635232b22e9ae06c351244f5""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""635232b32e9ae06c351244f6""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""635232b42e9ae06c351244f7""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""635232b52e9ae06c351244f8""",NSE-ONGC-EQ,2022-10-21,107:22:18 AM
"""635232b52e9ae06c351244f9""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""635232b62e9ae06c351244fa""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""635232b72e9ae06c351244fb""",NSE-ONGC-EQ,2022-10-21,107:22:18 AM
"""635232b72e9ae06c351244fc""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""635232b82e9ae06c351244fd""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""635232b92e9ae06c351244fe""",NSE-ONGC-EQ,2022-10-21,107:22:18 AM
"""635232bb2e9ae06c351244ff""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
"""635232bb2e9ae06c35124500""",NSE-ONGC-EQ,2022-10-21,107:22:18 AM
"""635232bc2e9ae06c35124501""",NSE-SBIN-EQ,2022-10-21,107:22:18 AM
